a52dec 0.7.4-9
accountsservice 0.6.43-1
acl 2.2.52-3
acpid 2.0.28-1
adobe-source-code-pro-fonts 2.030ro+1.050it-1
adwaita-icon-theme 3.22.0-1
alsa-firmware 1.0.29-1
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.2-1
android-file-transfer 3.0-2
archlinux-keyring 20161201-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attr 2.4.47-2
audacious 3.8-1
audacious-plugins 3.8-1
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
b43-fwcutter 019-1
base-devel-multilib 2016.01.27-1
bash 4.4.005-1
bc 1.06.95-3
binutils 2.27-1
bison 3.0.4-2
boost-libs 1.62.0-4
btrfs-progs 4.8.5-1
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.1-1
ca-certificates-utils 20160507-1
cairo 1.14.6-2
cairomm 1.12.0-2
cantarell-fonts 1:0.0.25-2
chromium 55.0.2883.75-1
chromium-pepper-flash 1:23.0.0.162-1
cifs-utils 6.5-1
ckbcomp 1.120-1
clucene 2.3.3.4-9
colord 1.3.4-1
compositeproto 0.4.2-3
coreutils 8.25-2
cpupower 4.8-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
crypto++ 5.6.5-2
cryptsetup 1.7.3-1
ctags 5.8-5
curl 7.51.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.12-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.167-2
dhclient 4.3.5-1
dhcpcd 6.11.3-1
diffutils 3.5-1
ding-libs 0.6.0-1
discord 0.0.8-1
dmd 1:2.072.1-1
dmidecode 3.0-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.76-3
dosfstools 4.0-3
dotconf 1.3-4
dtools 2.072.1-1
dub 1.1.1-1
e2fsprogs 1.43.3-1
ecryptfs-utils 108-2
efibootmgr 14-2
efitools 1.7.0.3.g791e463-1
efivar 30-1
elfutils 0.167-1
enca 1.19-1
enchant 1.6.0-10
ethtool 1:4.8-1
exfat-utils 1.2.4-1
exo 0.10.7-2
expat 2.2.0-2
f2fs-tools 1.7.0-1
faad2 2.7-4
fakeroot 1.21-2
ffmpeg 1:3.2.1-1
ffmpeg2.8 2.8.8-1
fftw 3.3.5-1
file 5.29-1
filesystem 2015.09-1
findutils 4.6.0-2
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 11.2.202.644-1
flex 2.6.1-1
fontconfig 2.12.1-3
fontsproto 2.1.3-1
freeglut 3.0.0-1
freetype2 2.7-2
fribidi 0.19.7-1
fuse 2.9.7-1
fuseiso 20070708-6
gamin 0.1.10-8
garcon 0.4.0-1
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 6.2.1-1
gcc-multilib 6.2.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gdbm 1.12-2
gdk-pixbuf2 2.36.0+2+ga7c869a-1
geoclue2 2.4.4-2
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.10.2-1
gksu 2.0.2-5
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glibmm 2.50.0-1
glu 9.0.0-4
gmp 6.1.1-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-menus 3.13.3-2
gnome-mime-data 2.18.0-7
gnome-terminal 3.22.1-1
gnome-themes-standard 3.22.2-1
gnome-vfs 2.24.4-10
gnupg 2.1.16-1
gnutls 3.4.16-1
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
gparted 0.27.0-1
gpgme 1.7.1-2
gpicview 0.2.5-2
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 2.26-1
groff 1.22.3-7
grub 2.02.beta3-4
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsm 1.0.14-1
gssproxy 0.5.1-2
gst-libav 1.10.2-1
gst-plugins-base-libs 1.10.2-1
gstreamer 1.10.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-base 0.10.36-3
gstreamer0.10-good 0.10.31-11.1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.4-1
gtk2 2.24.31-1
gtk3 3.22.4-1
gtkmm 2.24.4-2
gtkmm3 3.22.0-1
gtksourceview2 2.10.5-3
gtksourceview3 3.22.2-1
guile 2.0.13-2
gvfs 1.30.2+11+g7435ecc-1
gzip 1.8-2
harfbuzz 1.3.3-2
harfbuzz-icu 1.3.3-2
haveged 1.9.1-2
